CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00083,Parking Without Authorization,C2 LOT,15-01-10,Toyota
11S00084,Expired Time,Agronomy Road,15-01-10,Chevrolet
11S00085,Expired Time,Acute Care Unit Lot,15-01-10,Dodge
11S00086,Expired Time,Winter Sports Lot,15-01-10,Dodge
11S00087,Parking in Improper Location,Acute Care Unit Lot,15-01-10,Jeep
11S00088,Parking in Improper Location,Friedman Building,15-01-10,Toyota
11S00089,Parking Without Authorization,Keremeos Court,15-01-10,Honda
11S00090,Parking Without Authorization,Keremeos Court,15-01-10,Kia
11S00091,Parking Without Authorization,Winter Sports Lot,15-01-10,BMW
11S00092,Expired Time,Winter Sports Lot,15-01-10,BMW
11S00093,Parking Without Authorization,Winter Sports Lot,15-01-10,Ford
11S00094,Parking Without Authorization,Winter Sports Lot,15-01-10,Volvo
11S00095,Parking Without Authorization,B4 LOT,15-01-10,Honda
11S00096,Parking in Improper Location,Thunderbird Residence,15-01-10,BMW
11S00097,Parking Without Authorization,Totem Meters,15-01-10,Jeep
11S00098,Parking Without Authorization,Winter Sports Lot,15-01-10,Volkswagen
11S00099,Parking Without Authorization,Winter Sports Lot,15-01-10,Mazda
11S00100,Parking Without Authorization,Fairview Avenue,15-01-10,Toyota
11S00101,Parking Without Authorization,Fairview Avenue,15-01-10,Dodge
11S00102,Parking Without Authorization,Law Lot,15-01-10,Honda
11S00103,Parking Without Authorization,Walter Gage Road,15-01-10,Honda
11S00104,Parking Without Authorization,Walter Gage Road,15-01-10,Honda
11S00105,Parking Without Authorization,B4 LOT,15-01-11,Chrysler
11S00106,Parking Without Authorization,B4 LOT,15-01-11,Mercendes-Benz
11S00107,Parking Without Authorization,B4 LOT,15-01-11,Honda
11S00108,Parking Without Authorization,B4 LOT,15-01-11,Mercendes-Benz
11S00109,Parking Without Authorization,B4 LOT,15-01-11,Lincoln
11S00110,Parking Without Authorization,Fraser River Parkade,15-01-11,Volkswagen
11S00111,Parking Without Authorization,Fraser River Parkade,15-01-11,Mercendes-Benz
11S00112,Parking Without Authorization,Fraser River Parkade,15-01-11,Volkswagen
11S00113,Expired Time,Old Fire Hall Meters,15-01-11,Toyota
11S00114,Parking Without Authorization,2200 Blk Wesbrook Mall,15-01-11,Lincoln
11S00115,Expired Time,C2 LOT,15-01-11,BMW
11S00116,Parking Without Authorization,C2 LOT,15-01-11,Mazda
11S00117,Expired Time,C2 LOT,15-01-11,Ford
11S00118,Parking Without Authorization,Agronomy Road,15-01-11,Subaru
11S00119,Expired Time,B4 LOT,15-01-11,Subaru
11S00120,Parking in Improper Location,Place Vanier Commons Bloc,15-01-11,Honda
11S00121,Parking Without Authorization,Old Fire Hall Meters,15-01-11,Toyota
11S00122,Parking Without Authorization,Sauder Lane,15-01-11,Volvo
11S00123,Parking Without Authorization,Sauder Lane,15-01-11,Acura
11S00124,Parking Without Authorization,Buchanan Meters,15-01-11,Honda
11S00125,Parking Without Authorization,Law Lot,15-01-11,Honda
11S00126,Parking Without Authorization,Walter Gage Road,15-01-11,BMW
11S00127,Parking Without Authorization,GSAB Lot,15-01-11,BMW
11S00128,Parking Without Authorization,GSAB Lot,15-01-11,Dodge
11S00129,Expired Time,Walter Gage Road,15-01-11,Toyota
11S00130,Expired Time,Fraser River Parkade,15-01-11,Hyundai
11S00131,Parking Without Authorization,Winter Sports Lot,15-01-11,Ford
11S00132,Parking Without Authorization,Winter Sports Lot,15-01-11,Land Rover
11S00133,Parking Without Authorization,Winter Sports Lot,15-01-11,Ford
11S00134,Parking Without Authorization,Totem Meters,15-01-12,Nissan
11S00135,Parking Without Authorization,Marine Drive Lot,15-01-12,Hyundai
11S00136,Parking Without Authorization,Old Fire Hall Meters,15-01-12,Porsche
11S00137,Parking Without Authorization,Memorial Lot,15-01-12,Mini
11S00138,Parking Without Authorization,Buchanan Meters,15-01-12,Toyota
11S00139,Parking Without Authorization,Fairview Avenue,15-01-12,Ford
11S00140,Parking Without Authorization,Armouries Lot,15-01-12,Volvo
11S00141,Parking Without Authorization,Armouries Lot,15-01-12,Acura
11S00142,Expired Time,B4 LOT,15-01-12,Honda
11S00143,Expired Time,B4 LOT,15-01-12,Volkswagen
11S00144,Parking Without Authorization,B4 LOT,15-01-12,Dodge
11S00145,Parking Without Authorization,Totem Meters,15-01-12,SmartCar
11S00146,Disobeyed Permit Conditions,East Mall Road,15-01-12,Honda
11S00147,Parking Without Authorization,C2 LOT,15-01-12,Honda
11S00148,Parking Without Authorization,Thunderbird Parkade,15-01-12,Subaru
11S00149,Parking Without Authorization,Stadium Lot,15-01-12,Ford
11S00150,Parking in Improper Location,Stadium Lot,15-01-12,Oldsmobile
11S00151,Parking in Improper Location,Stadium Lot,15-01-12,Honda
11S00152,Parking Without Authorization,Fairview Avenue,15-01-12,Toyota
11S00153,Expired Time,B4 LOT,15-01-12,Mazda
11S00154,Parking Without Authorization,Totem Meters,15-01-12,BMW
11S00155,Expired Time,Stadium Lot,15-01-12,Mazda
11S00156,Parking Without Authorization,Stadium Lot,15-01-12,Mazda
11S00157,Parking Without Authorization,Stadium Lot,15-01-12,Jeep
11S00158,Parking Without Authorization,Thunderbird Parkade,15-01-12,Toyota
11S00159,Parking Without Authorization,Winter Sports Lot,15-01-14,Chrysler
11S00160,Parking Without Authorization,Winter Sports Lot,15-01-14,Nissan
11S00161,Parking Without Authorization,Wesbrook Mall,15-01-14,Acura
11S00162,Parking Without Authorization,Tbird Residence Meters,15-01-14,BMW
11S00163,Expired Time,GSAB Lot,15-01-14,Toyota
11S00164,Parking Without Authorization,Oyama Court,15-01-14,Honda
11S00165,Parking Without Authorization,C2 LOT,15-01-14,Nissan
11S00166,Expired Time,East Mall Road,15-01-14,Cadillac
11S00167,Parking Without Authorization,C2 LOT,15-01-14,Nissan
11S00168,Parking Without Authorization,C2 LOT,15-01-14,Toyota
11S00169,Parking Without Authorization,Old Fire Hall Meters,15-01-15,Chevrolet
11S00170,Parking Without Authorization,Old Fire Hall Meters,15-01-15,BMW
11S00171,Parking Without Authorization,Old Fire Hall Meters,15-01-15,Ford
11S00172,Parking Without Authorization,Fraser River Parkade,15-01-15,Nissan
11S00173,Expired Time,Fraser River Parkade,15-01-15,Toyota
11S00174,Parking Without Authorization,Fraser River Parkade,15-01-15,Honda
11S00175,Parking Without Authorization,Marine Drive Lot,15-01-15,Nissan
11S00176,Parking Without Authorization,CCM,15-01-16,BMW
11S00177,Parking Without Authorization,B4 LOT,15-01-16,Jeep
11S00178,Expired Time,GSAB Lot,15-01-16,Ford
